movej([0.846470, -3.040916, -0.197875, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197875, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197875, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197875, -0.766855, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197875, -0.766841, -2.341798, -2.155398],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766855, -2.341798, -2.155384],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766841, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155398],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155398],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155388],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155394],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766855, -2.341798, -2.155384],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155388],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155393],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766851, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766846, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155383],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766840, -2.341798, -2.155398],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766845, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766850, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766856, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
movej([0.846470, -3.040916, -0.197885, -0.766841, -2.341798, -2.155399],a=4, v=0.75, t=0.008000)
